SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%)
60.74,1.1422,15.79,3.44,0.1972,0.2416
66.53,0.5438,15.9,2.89,0.0,0.0278
67.47,0.484,15.73,3.13,0.0,0.0213
66.21,0.7461,15.49,2.21,0.0305,0.0167
61.88,0.1071,15.87,2.99,0.6931,0.0314
62.1,0.1863,16.0,3.1,0.9241,0.1525
61.24,0.175,16.63,3.66,0.9803,0.1202
60.36,0.1679,15.69,3.86,0.8809999999999999,0.0285
47.73,2.9,13.2,11.48,10.18,10.51
45.11,3.7,11.97,11.99,10.56,12.18
44.77,4.01,14.12,11.94,11.69,7.42
43.83,4.14,12.1,12.45,9.95,11.23
42.3,4.37,11.63,13.07,10.02,12.19
47.4,3.91,12.9,12.89,8.84,8.7
46.1,3.47,10.8,12.32,9.29,12.3
69.1,0.09,15.7,2.16,0.65,0.09
47.8,4.04,13.9,12.34,10.39,5.6
48.8,3.37,14.0,11.66,10.75,6.4
48.4,4.11,13.8,11.7,10.11,4.6
47.1,3.76,14.6,11.99,10.01,6.0
46.5,3.8,13.6,12.47,10.39,6.7
44.6,2.52,9.2,12.43,9.33,16.2
46.8,3.18,17.3,8.46,7.63,3.58
54.6,1.62,17.5,7.67,4.47,2.0
58.5,0.76,18.9,5.36,1.19,0.8
56.8,0.84,18.4,6.3,1.11,1.5
61.2,0.32,17.6,4.6,1.18,0.7
44.27582879999999,3.1433517,11.119507400000002,12.5583757,10.458434500000001,13.67376015
44.02957,3.13793,10.91697,12.54856,10.32587,14.048829999999999
43.81159,3.2762599999999997,11.22622,12.70992,10.561169999999999,13.251170000000002
43.77505,3.35235,11.159989999999999,12.70618,10.4588,13.18614
43.99365635,3.3774678,11.16299455,12.84945985,10.88111105,13.24734045
44.12151,3.4013400000000003,10.86921,12.5885,10.35494,13.802
43.75244845,3.4285909,10.9277069,12.6697927,10.641127000000001,13.85552425
43.92835,3.49906,11.100530000000001,12.82276,10.5877,13.348670000000002
43.727509999999995,3.5081599999999997,11.1461,12.79011,10.743039999999999,13.18273
43.8846939,3.56567205,11.5522485,12.70685645,10.2803002,12.7562781
44.096609,3.6648437000000005,11.4120729,13.0916329,9.891792500000001,12.90207545
44.9165686,3.73858315,12.4354105,13.03630095,10.73586095,10.27038005
45.1798,3.63142,12.67251,12.74227,10.49467,10.36563
43.93906,3.8374599999999996,10.97591,12.7012,10.10285,13.02704
43.92941,3.9427800000000004,11.07615,12.69144,10.092419999999999,12.67877
43.95633,3.94006,11.11768,12.68929,10.061069999999999,12.7078
44.76529,3.8801900000000002,11.4339,12.72241,9.8974,11.92078
44.678106,3.8916801,11.4795648,12.777266699999998,9.8667261,11.4821586
44.916309999999996,3.89121,11.57168,12.50997,9.91823,11.79557
44.4174291,3.8572479,11.430539999999999,12.7864044,9.999019800000001,11.3840694
44.503240000000005,3.8514199999999996,11.40639,12.325289999999999,9.9862,11.76423
44.6186,3.85132,11.44132,12.39978,9.9482,11.757
39.643678799999996,4.577136299999999,11.7446373,14.142159900000001,9.9877239,12.4037397
47.1696291,3.7764144,15.117695999999999,13.4592084,7.603150500000001,5.2305264000000005
48.99693,3.6296800000000005,16.53581,10.83763,7.726789999999999,2.90965
48.914001,3.2249741000000003,15.26243435,11.72560735,7.5820194,4.4646446
48.6615297,3.2921366,15.777993599999999,12.3455023,7.599969199999999,4.26137605
47.97600455,3.17435845,16.0050128,12.1680739,7.5426174,3.46662975
49.234770000000005,3.06222,15.52103,10.97483,7.43496,4.32659
49.47421,3.0573200000000003,15.463679999999998,11.1176,7.450130000000001,3.9775699999999996
46.60801,3.6550800000000003,15.547189999999999,12.99002,7.30958,5.02359
45.79638,3.9803900000000003,15.377189999999999,13.6423,7.56077,4.9689
47.9486,3.57027,15.48274,12.9894,7.3039,4.59403
46.918659999999996,3.66165,15.822029999999998,13.46972,6.86441,3.9300900000000003
47.0943,3.55314,15.48838,12.77079,7.2659899999999995,5.13585
47.046136499999996,3.3146487000000002,15.6343968,12.738429,7.165758599999999,4.3256169
49.15599,3.01165,16.113570000000003,12.00158,7.35549,4.42274
47.56188,3.09325,15.604270000000001,12.24726,7.032439999999999,4.0105
48.204409999999996,3.0312099999999997,15.50959,11.44408,7.05824,4.51237
51.07087245,2.23173525,16.586212200000002,10.46241505,6.36878605,3.67500265
48.74486095,2.61361625,16.5001447,11.4180827,6.8268542000000005,3.9491947999999995
50.57184,2.3646599999999998,16.45103,10.307739999999999,6.30853,3.76945
49.49675,2.58727,16.43021,10.76797,6.608410000000001,4.152340000000001
50.24394,2.50272,16.41104,10.81996,6.42161,4.02784
52.0633476,1.9029186000000002,16.5343761,9.133027199999999,5.2877583,3.1814145000000003
45.62784,5.38019,14.58356,13.786010000000001,9.147110000000001,6.3789
47.9258466,3.8304316,14.2001027,12.25896715,8.5662535,6.778497200000001
49.024609999999996,3.7627800000000002,14.290020000000002,12.088389999999999,8.39371,6.26728
48.57237,3.5518922999999996,14.332665599999999,11.6563095,8.0058132,6.163641
47.80221195,4.05598905,14.03423205,12.6415734,8.708767199999999,6.80906595
47.13626,3.5323800000000003,13.02988,11.6484,8.129010000000001,8.40242
46.473279999999995,3.76568,14.06666,12.015039999999999,8.41162,6.93942
46.450179999999996,3.8153099999999998,16.36651,11.99648,7.82153,4.60462
54.2268855,1.34757435,17.071975199999997,8.03625135,4.27658655,2.16104145
45.56953,3.71665,11.928510000000001,12.5463,8.84503,10.10972
47.2375653,3.79213405,12.71881635,12.90014515,9.03620195,9.1408461
46.96264,4.0302,12.99647,12.99663,8.54239,8.727039999999999
46.1667861,3.5697813999999997,15.7579543,12.456842800000002,7.4078546,5.171791099999999
46.87996,3.47876,15.861260000000001,12.50531,7.35875,4.9531
48.090858000000004,2.78247315,16.5233457,10.80170985,6.4399596,4.09319415
45.22312065,3.9761217,13.1371188,11.406508800000001,9.4257141,7.96200195
44.34065,3.2168900000000002,10.96845,12.00385,8.79982,12.26367
44.326190000000004,3.1491700000000002,10.532,11.93586,8.36853,13.79455
46.637159999999994,3.38691,14.90006,10.962060000000001,7.31872,5.99137
47.96803,3.23517,14.0869,10.79503,7.6043,6.6515
47.82197,3.4544599999999996,14.39891,11.038730000000001,8.17966,5.98832
45.7077159,4.3084602,13.7097774,11.5687737,9.3937536,7.1652537
47.9249001,3.7524663,14.9922234,10.8064341,8.235711,5.4365255999999995
46.7876079,3.6257265,13.2909678,11.0824857,8.2694799,7.4259108
47.180727000000005,3.7765332000000003,14.148149400000001,11.0376288,8.4198411,6.007557599999999
46.938559999999995,4.6950199999999995,14.304110000000001,11.80551,9.612110000000001,5.47593
46.863445299999995,4.70138495,14.27975245,11.82665955,9.5964168,5.6362571
46.424272200000004,4.82315305,14.001261900000001,11.86257905,9.559761,5.9857608
48.25183,3.7681,15.000720000000001,11.10847,8.52928,4.836180000000001
45.62355,3.3561199999999998,11.62433,11.832469999999999,8.50097,11.610380000000001
46.60957,4.64107,14.023060000000001,11.774239999999999,9.808119999999999,5.56157
44.4038859,4.323924,11.1459447,13.208490900000001,9.618345,11.918916900000001
44.18189,4.26915,11.024519999999999,13.12905,9.40761,12.15155
48.10318545,4.500603900000001,14.626121900000001,11.02763475,8.9299857,5.0160537000000005
47.28957,4.01295,15.262929999999999,11.36881,9.07179,4.78303
47.3742,3.88314,15.496329999999999,11.10966,8.971689999999999,4.24226
46.91962,4.27041,14.97841,11.74704,9.36967,5.01198
47.457281200000004,3.9373343999999997,14.5799539,11.4406493,8.61921735,5.34039385
48.0501153,3.4862652,15.013597500000001,10.897543800000001,8.2071,5.2235667
46.17330335,4.75847805,14.67313565,11.711508199999999,9.68414595,5.1272748
48.05368,4.186,14.569560000000001,11.32959,8.97052,4.7987400000000004
45.9563445,2.9322612,11.1408462,11.5497063,9.0974169,13.554515700000001
46.761109999999995,4.243530000000001,14.001660000000001,11.33601,9.8878,6.148619999999999
47.258521200000004,4.0273695,13.427795699999999,11.577653999999999,9.741827699999998,7.7454135
45.714290000000005,4.30888,12.30741,11.6496,10.26574,8.50252
46.84089,4.1047199999999995,14.060820000000001,11.14067,9.867230000000001,6.098730000000001
45.78658665,3.54388155,11.010232199999999,11.9526365,9.07275825,11.99302355
46.25,3.24,10.84,12.48,10.33,13.26
47.14,3.52,12.12,12.07,11.43,9.73
46.51,4.4,14.47,12.15,10.51,7.2
47.49,3.85,13.44,12.39,11.84,6.77
48.12,3.86,14.17,11.42,11.54,6.36
46.41,3.57,11.8,12.07,10.86,11.52
48.02,3.68,13.5,12.1,11.71,6.67
46.56,3.51,12.19,12.46,10.78,10.38
48.31,3.33,11.51,11.34,12.68,9.33
46.13,3.33,11.75,12.52,10.17,12.19
46.95,3.55,12.26,12.02,11.42,9.82
48.25,3.71,12.56,11.7,12.15,7.85
47.65,4.03,14.49,12.2,10.47,6.3
48.24,3.79,13.88,12.04,10.64,7.15
47.24,4.0,14.32,12.84,9.95,6.98
46.3,2.96,12.84,11.91,9.91,11.86
45.45,3.49,12.8,13.06,7.81,13.94
45.46,3.09,11.8,11.6,9.81,13.54
45.57,3.16,12.0,11.79,10.07,13.09
48.06,4.24,15.2,12.01,9.73,5.38
45.78,3.65,15.79,12.84,9.82,6.72
48.28,4.28,15.32,12.05,9.37,5.27
47.53,3.88,14.0,12.5,10.26,7.45
46.01,2.96,13.87,12.67,10.77,10.0
45.93,3.12,11.92,11.59,10.05,13.21
47.24,2.57,14.48,11.86,10.19,9.62
45.84,3.04,11.94,11.34,9.7,13.24
46.83,3.11,14.7,11.86,9.18,10.16
46.33,3.37,12.7,11.25,9.26,11.01
44.62,3.3,12.4,11.46,10.48,11.92
45.51,3.24,12.64,11.8,9.07,12.04
48.64,3.01,14.2,10.58,8.07,8.98
45.39,3.83,11.84,12.11,9.07,12.75
48.05,2.73,14.25,10.91,8.57,9.76
45.89,3.13,12.38,11.23,9.51,12.31
48.3,2.94,13.32,11.29,9.44,10.16
47.33,2.7,12.47,11.71,9.45,12.04
46.05,2.83,11.76,11.98,9.28,13.75
44.72,3.67,11.45,12.42,9.13,14.06
45.94,3.27,12.59,12.37,9.79,11.95
45.83,3.04,11.98,11.45,9.24,13.33
48.41,4.23,15.15,11.88,9.64,5.21
44.68,4.53,12.02,12.55,9.96,11.63
47.2,3.99,12.21,12.32,8.99,10.57
45.13,3.96,11.67,12.33,9.87,11.94
45.29,3.45,12.26,12.61,10.45,11.51
41.64,5.82,11.95,14.39,10.26,11.67
42.25,5.63,11.58,13.92,9.9,11.44
42.1,5.67,11.74,14.02,10.03,11.45
44.65,4.31,12.14,13.14,9.67,12.35
48.37,3.34,13.63,11.3,9.01,8.12
41.58,6.58,11.14,14.55,9.97,11.77
41.75,4.45,11.84,13.34,10.92,11.06
48.08,2.89,13.6,10.57,8.41,10.47
47.9,2.73,12.43,11.97,9.4,12.7
45.93,2.77,12.65,11.25,9.43,13.27
45.99,3.41,12.72,10.38,10.54,12.12
47.1,3.96,12.8,12.62,8.53,8.5
47.2,3.12,13.2,11.65,11.43,8.2
46.6,2.99,11.8,12.45,10.19,10.4
46.4,3.53,13.7,12.08,10.36,7.3
45.6,3.93,11.1,12.59,9.8,12.1
45.5,3.27,11.0,12.49,9.4,12.3
43.5,3.52,14.2,12.36,10.51,7.4
46.6,3.54,12.41,12.35,10.98,10.13
46.71,3.38,11.27,11.63,10.91,12.42
48.61,3.31,17.66,11.34,8.65,3.18
45.23,2.42,8.37,12.8,8.41,19.87
47.32,3.09,10.61,11.61,11.54,12.4
45.34,4.64,13.93,14.0,11.97,6.11
46.84,2.9,10.63,11.92,10.11,14.15
47.93,3.8,12.81,11.3,11.67,8.36
44.09,1.89,6.67,12.79,6.98,25.45
48.508,3.688,14.902999999999999,12.865,8.752,3.987
